First Priority,Second Priority,Third Priority,Score,Year
BSA,BSF,NONE,33,2023
BSF,BSA,NONE,34,2023
BSA,BSF,NONE,31,2023
BSA,BSF,NONE,39,2023
BSA,BSF,NONE,36,2023
BSA,BSF,NONE,27,2023
BSA,BSF,NONE,41,2023
BSA,BSF,NONE,33,2023
BSA,BSF,NONE,36,2023
BSA,BSF,NONE,18,2023
BSA,BSF,NONE,54,2023
BSA,BSF,NONE,27,2023
BSA,BSF,NONE,48,2023
BSA,BSF,NONE,30,2023
BSA,BSF,NONE,28,2023
BSA,BSF,NONE,32,2023
BSA,BSF,NONE,29,2023
BSA,BSF,NONE,31,2023
BSA,BSF,NONE,35,2023
BSA,BSF,NONE,32,2023
BSF,BSA,NONE,34,2023
BSA,BSF,NONE,24,2023
BSA,BSF,NONE,26,2023
BSF,BSA,NONE,36,2023
BSA,BSF,NONE,31,2023
BSF,BSA,NONE,51,2023
BSA,BSF,NONE,29,2023
BSA,BSF,NONE,38,2023
BSA,BSF,NONE,25,2023
BSA,BSF,NONE,29,2023
BSA,BSF,NONE,26,2023
BSA,BSF,NONE,22,2023
BSA,BSF,NONE,41,2023
BSA,BSF,NONE,32,2023
BSA,BSF,NONE,28,2023
BSA,BSF,NONE,34,2023
BSA,BSF,NONE,29,2023
BSA,BSF,NONE,32,2023
BSF,BSA,NONE,35,2023
BSA,BSF,NONE,33,2023
BSF,BSA,NONE,37,2023
BSA,BSF,NONE,26,2023
BSF,BSA,NONE,43,2023
BSA,BSF,NONE,41,2023
BSA,BSF,NONE,37,2023
BSA,BSF,NONE,29,2023
BSA,BSF,NONE,55,2023
BSA,BSF,NONE,30,2023
BSA,BSF,NONE,33,2023
BSA,BSF,NONE,33,2023
BSA,BSF,NONE,41,2023
BSA,BSF,NONE,32,2023
BSA,BSF,NONE,31,2023
BSA,BSF,NONE,26,2023
BSA,BSF,NONE,37,2023
BSA,BSF,NONE,43,2023
BSA,BSF,NONE,37,2023
BSA,BSF,NONE,26,2023
BSA,BSF,NONE,30,2023
BSA,BSF,NONE,45,2023
BSA,BSF,NONE,35,2023
BSA,BSF,NONE,36,2023
BSA,BSF,NONE,27,2023
BSF,BSA,NONE,39,2023
BSA,BSF,NONE,33,2023
BSA,BSF,NONE,34,2023
BSF,BSA,NONE,41,2023
BSA,BSF,NONE,33,2023
BSA,BSF,NONE,32,2023
BSA,BSF,NONE,33,2023
BSA,BSF,NONE,36,2023
BSA,BSF,NONE,35,2023
BSF,BSA,NONE,78,2023
BSA,BSF,NONE,33,2023
BSA,BSF,NONE,26,2023
BSA,BSF,NONE,27,2023
BSA,BSF,NONE,33,2023
BSA,BSF,NONE,28,2023
BSA,BSF,NONE,29,2023
BSA,BSF,NONE,28,2023
BSF,BSA,NONE,28,2023
BSA,BSF,NONE,60,2023
BSF,BSA,NONE,31,2023
BSF,BSA,NONE,40,2023
BSF,BSA,NONE,27,2023
BSF,BSA,NONE,37,2023
BSF,BSA,NONE,49,2023
BSA,BSF,NONE,62,2023
BSA,BSF,NONE,30,2023
BSA,BSF,NONE,43,2023
BSA,BSF,NONE,36,2023
BSA,BSF,NONE,32,2023
BSA,BSF,NONE,62,2023
BSA,BSF,NONE,29,2023
BSA,BSF,NONE,28,2023
BSA,BSF,NONE,37,2023
BSF,BSA,NONE,36,2023
BSA,BSF,NONE,40,2023
BSA,BSF,NONE,24,2023
BSA,BSF,NONE,27,2023
BSF,BSA,NONE,54,2023
BSA,BSF,NONE,34,2023
BSA,BSF,NONE,38,2023
BSF,BSA,NONE,36,2023
BSF,BSA,NONE,34,2023
BSA,BSF,NONE,41,2023
BSA,BSF,NONE,55,2023
BSA,BSF,NONE,55,2023
BSA,BSF,NONE,41,2023
BSA,BSF,NONE,54,2023
BSF,BSA,NONE,51,2023
BSA,BSF,NONE,52,2023
BSA,BSF,NONE,38,2023
BSA,BSF,NONE,38,2023
BSA,BSF,NONE,50,2023
BSF,BSA,NONE,71,2023
BSF,BSA,NONE,50,2023
BSA,BSF,NONE,31,2023
BSA,BSF,NONE,44,2023
BSA,BSF,NONE,46,2023
BSA,BSF,NONE,36,2023
BSA,BSF,NONE,50,2023
BSA,BSF,NONE,30,2023
BSA,BSF,NONE,35,2023
BSF,BSA,NONE,35,2023
BSA,BSF,NONE,62,2023
BSA,BSF,NONE,40,2023
BSA,BSF,NONE,47,2023
BSA,BSF,NONE,39,2023
BSA,BSF,NONE,35,2023
BSA,BSF,NONE,68,2023
BSA,BSF,NONE,31,2023
BSF,BSA,NONE,37,2023
BSF,BSA,NONE,32,2023
BSA,BSF,NONE,41,2023
BSA,BSF,NONE,34,2023
BSA,BSF,NONE,46,2023
BSA,BSF,NONE,38,2023
BSA,BSF,NONE,41,2023
BSA,BSF,NONE,58,2023
BSA,BSF,NONE,43,2023
BSA,BSF,NONE,68,2023
BSA,BSF,NONE,52,2023
BSA,BSF,NONE,79,2023
BSA,BSF,NONE,34,2023
BSA,BSF,NONE,40,2023
BSF,BSA,NONE,27,2023
BSA,BSF,NONE,42,2023
BSA,BSF,NONE,43,2023
BSA,BSF,NONE,30,2023
BSF,BSA,NONE,38,2023
BSA,BSF,NONE,42,2023
BSA,BSF,NONE,33,2023
BSA,BSF,NONE,42,2023
BSF,BSA,NONE,31,2023
BSA,BSF,NONE,21,2023
BSA,BSF,NONE,29,2023
BSA,BSF,NONE,43,2023
BSA,BSF,NONE,27,2023
BSA,BSF,NONE,39,2023
BSA,BSF,NONE,32,2023
BSA,BSF,NONE,27,2023
BSF,BSA,NONE,84,2023
BSF,BSA,NONE,64,2023
BSA,BSF,NONE,25,2023
BSA,BSF,NONE,36,2023
BSF,BSA,NONE,31,2023
BSA,BSF,NONE,33,2023
BSF,BSA,NONE,41,2023
BSA,BSF,NONE,33,2023
